project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
7056,FINANCIALLY COMPLETED,PP,39476.00,39518.00,39721.00,40147.00,  0.550 ,  0.325 ,  0.225 ,
7057,FINANCIALLY COMPLETED,AD,39478.00,39566.00,40359.00,40527.00,  0.200 ,  0.113 ,  0.087 ,1
7058,FINANCIALLY COMPLETED,AD,39476.00,39489.00,40056.00,40298.00,  0.500 ,  0.481 ,  0.019 ,1
7059,FINANCIALLY COMPLETED,PP,39475.00,39741.00,39813.00,40329.00,  0.880 ,  0.828 ,  0.052 ,
7060,FINANCIALLY COMPLETED,PP,39483.00,39553.00,39752.00,40056.00,  0.600 ,  0.544 ,  0.056 ,
7061,FINANCIALLY COMPLETED,PP,39493.00,39536.00,40117.00,40117.00,  1.200 ,  1.037 ,  0.163 ,
7062,FINANCIALLY COMPLETED,PP,39497.00,39514.00,39629.00,40178.00,  0.650 ,  0.649 ,  0.001 ,1
7063,FINANCIALLY COMPLETED,PP,39497.00,39654.00,40178.00,40908.00,  0.500 ,  0.405 ,  0.095 ,
7064,FINANCIALLY COMPLETED,AD,39496.00,39672.00,40574.00,41090.00,  8.400 ,  4.678 ,  3.722 ,1
7065,FINANCIALLY COMPLETED,AD,39513.00,39570.00,39964.00,40117.00,  0.300 ,  0.293 ,  0.007 ,1
7066,FINANCIALLY COMPLETED,PP,39511.00,39511.00,39691.00,39721.00,  0.150 ,  0.046 ,  0.104 ,
7067,FINANCIALLY COMPLETED,PP,39514.00,39538.00,39691.00,39903.00,  0.500 ,  0.494 ,  0.006 ,
7068,FINANCIALLY COMPLETED,PP,39514.00,39514.00,39813.00,40178.00,  0.150 ,  -   ,  0.150 ,
7069,FINANCIALLY COMPLETED,PP,39524.00,39524.00,39599.00,39644.00,  0.150 ,  0.131 ,  0.019 ,
7070,FINANCIALLY COMPLETED,PP,39535.00,39535.00,39721.00,40633.00,  0.270 ,  0.248 ,  0.022 ,
7071,FINANCIALLY COMPLETED,PP,39535.00,39535.00,39629.00,39933.00,  0.300 ,  0.259 ,  0.041 ,
7072,FINANCIALLY COMPLETED,AD,39538.00,39707.00,40268.00,40724.00,  0.500 ,  0.404 ,  0.096 ,0
7073,FINANCIALLY COMPLETED,AD,39542.00,39741.00,39844.00,40543.00,  0.624 ,  0.621 ,  0.003 ,1
7074,FINANCIALLY COMPLETED,AD,39542.00,39568.00,40268.00,40755.00,  0.650 ,  0.469 ,  0.181 ,1
7075,FINANCIALLY COMPLETED,AD,39556.00,39587.00,39964.00,39964.00,  0.600 ,  0.331 ,  0.269 ,1
7076,FINANCIALLY COMPLETED,PP,39559.00,39559.00,39721.00,40086.00,  0.150 ,  0.146 ,  0.004 ,
7077,FINANCIALLY COMPLETED,AD,39561.00,39666.00,40329.00,40847.00,  1.100 ,  1.058 ,  0.042 ,1
7078,FINANCIALLY COMPLETED,AD,39562.00,39906.00,39994.00,40359.00,  0.750 ,  0.658 ,  0.092 ,1
7079,FINANCIALLY COMPLETED,AD,39582.00,39596.00,40025.00,40053.00,  0.289 ,  0.253 ,  0.036 ,1
7080,FINANCIALLY COMPLETED,PP,39582.00,39645.00,39933.00,40267.00,  0.650 ,  0.637 ,  0.013 ,
7081,FINANCIALLY COMPLETED,AD,39594.00,39601.00,39752.00,39933.00,  1.000 ,  0.836 ,  0.164 ,1
7082,FINANCIALLY COMPLETED,AD,39595.00,39650.00,40025.00,40374.00,  0.700 ,  0.603 ,  0.097 ,1
7083,FINANCIALLY COMPLETED,AD,39594.00,39631.00,40298.00,40816.00,  1.000 ,  0.915 ,  0.085 ,1
7084,FINANCIALLY COMPLETED,AD,39595.00,39618.00,40025.00,40390.00,  0.350 ,  0.350 ,  0.000 ,1
7085,FINANCIALLY COMPLETED,PP,39596.00,39619.00,39933.00,40908.00,  1.300 ,  1.279 ,  0.021 ,
7086,FINANCIALLY COMPLETED,PP,39604.00,39654.00,39933.00,40298.00,  0.660 ,  0.657 ,  0.002 ,
7087,FINANCIALLY COMPLETED,AD,39604.00,39763.00,40056.00,40724.00,  1.000 ,  0.782 ,  0.218 ,1
7088,FINANCIALLY COMPLETED,PP,39609.00,39629.00,40117.00,40329.00,  1.800 ,  1.657 ,  0.143 ,
